졸업생 진로 · 학교 규모 — 휘문고등학교
지역,서울 강남구,유형,자율고등학교
출처,"KESS 교육통계서비스 · 유초중등 학교별(상반기) — 교육기본통계(교육부·한국교육개발원), 매년 4/1 기준"
비고,“졸업 후 상황”은 직전 2월 졸업생 기준. 집계(구·시도·전국)는 일반고+자율고만 합산.
색인 생성일,2026-09-08

[1] 휘문고등학교 — 최근 3개년
졸업,졸업자,진학자,진학률(%),국내대학,국내전문대,국외,취업,입대,기타,기타율(%),검산
2025. 2.,407,200,49.1,193,7,0,0,0,207,50.9,OK
2024. 2.,402,179,44.5,167,12,0,6,0,217,54,OK
2023. 2.,401,220,54.9,218,2,0,0,0,181,45.1,OK

※ 취업·입대가 0 에 가까우면 기타 ≈ N수(재수) 규모로 읽는다.

[2] 서울 강남구 고교 — 2025. 2. 졸업 기준 (비교군 후보)
학교,유형,졸업자,진학자,진학률(%),기타,기타율(%)
휘문고등학교,자율고등학교,407,200,49.1,207,50.9
숙명여자고등학교,일반고등학교,389,177,45.5,212,54.5
단국대학교사범대학부속고등학교,일반고등학교,360,172,47.8,188,52.2
경기여자고등학교,일반고등학교,355,191,53.8,164,46.2
중동고등학교,자율고등학교,351,205,58.4,146,41.6
현대고등학교,자율고등학교,341,157,46,180,52.8
경기고등학교,일반고등학교,330,170,51.5,159,48.2
중앙대학교사범대학부속고등학교,일반고등학교,328,151,46,177,54
풍문고등학교,일반고등학교,293,153,52.2,140,47.8
진선여자고등학교,일반고등학교,288,164,56.9,124,43.1
중산고등학교,일반고등학교,279,149,53.4,130,46.6
영동고등학교,일반고등학교,229,116,50.7,113,49.3
은광여자고등학교,일반고등학교,225,123,54.7,102,45.3
개포고등학교,일반고등학교,215,114,53,101,47
압구정고등학교,일반고등학교,176,96,54.5,77,43.8
수도전기공업고등학교,특수목적고등학교,174,4,2.3,39,22.4
서울세종고등학교,일반고등학교,171,107,62.6,64,37.4
청담고등학교,일반고등학교,157,78,49.7,79,50.3
대진디자인고등학교,특성화고등학교,156,111,71.2,34,21.8
국립국악고등학교,특수목적고등학교,142,94,66.2,48,33.8
서울로봇고등학교,특수목적고등학교,132,25,18.9,18,13.6
단국대학교부속소프트웨어고등학교,특성화고등학교,91,63,69.2,26,28.6

[3] 기타율 낙차 — 학교 → 구 → 시도 → 전국 (일반고+자율고만 합산)
졸업,구분,졸업자,진학자,진학률(%),기타,기타율(%),학교수
2025. 2.,휘문고등학교,407,200,49.1,207,50.9,1
2025. 2.,강남구 평균,4894,2523,51.6,2363,48.3,17
2025. 2.,서울 평균,53538,34056,63.6,18946,35.4,229
2025. 2.,전국 평균,333835,262255,78.6,65897,19.7,1719
2024. 2.,휘문고등학교,402,179,44.5,217,54,1
2024. 2.,강남구 평균,4738,2279,48.1,2443,51.6,17
2024. 2.,서울 평균,51222,32533,63.5,17788,34.7,230
2024. 2.,전국 평균,319007,250111,78.4,62935,19.7,1720
2023. 2.,휘문고등학교,401,220,54.9,181,45.1,1
2023. 2.,강남구 평균,5155,2554,49.5,2583,50.1,17
2023. 2.,서울 평균,56348,35222,62.5,20226,35.9,229
2023. 2.,전국 평균,345357,269121,77.9,70417,20.4,1711

[4] 휘문고등학교 — 학교 규모·교원 3개년
조사,학생수,1학년,2학년,3학년,학급수,학급당 학생수,교원수,기간제,교원1인당 학생수,전출,전입,순전입,입학자
2025. 4.,1236,408,414,414,36,34.3,76,25,16.3,11,18,7,338
2024. 4.,1243,420,416,407,36,34.5,80,29,15.5,7,18,11,418
2023. 4.,1223,414,406,403,36,34,79,31,15.5,0,2,2,414
2025. 4. 강남구 학교당 평균,921,,,,34,27.3,75,,12.3,,,,

※ 학생수·교원은 4/1 조사 시점. 졸업 후 상황([1])만 직전 2월 졸업생 기준이다.
